,0
2021-12-01,-0.005854601255776996
2021-12-02,0.015241765583886438
2021-12-03,-0.008735863812474284
2021-12-06,0.008953105295237598
2021-12-07,0.029486153584624197
2021-12-08,0.004620520897325423
2021-12-09,-0.004131924875548232
2021-12-10,0.003841844579923812
2021-12-13,-0.013253773131292295
2021-12-14,-0.011819634370268178
2021-12-15,0.016541261266040382
2021-12-16,-0.01716783969089895
2021-12-17,-0.01405363344983679
2021-12-20,-0.002811490482102446
2021-12-21,0.012773743158932432
2021-12-22,0.018918948943754177
2021-12-23,0.0013167608990234101
2021-12-27,0.006262592512743009
2021-12-28,-0.010914181469367514
2021-12-29,0.00038582497987000105
2021-12-30,-0.0034265083786925526
2021-12-31,-0.009061475144276694
2022-01-03,0.0027300965352685105
2022-01-04,-0.004535528517075073
2022-01-05,-0.046829831115919734
2022-01-06,-0.0007446853322041489
2022-01-07,-0.003973024919069654
2022-01-10,0.011455855601801904
2022-01-11,0.010416792837726802
2022-01-12,0.011644923975503116
2022-01-13,-0.01776938876616213
2022-01-14,0.00471140389175846
2022-01-18,-0.02500958405632194
2022-01-19,-0.00468487563835559
2022-01-20,-0.01581615212176166
2022-01-21,-0.02557557121667317
2022-01-24,0.0021523136668164487
2022-01-25,-0.027893241373918416
2022-01-26,0.019761700872439083
2022-01-27,-0.0009207930272390152
2022-01-28,0.03228369309935129
2022-01-31,0.018073415322106576
2022-02-01,0.016064972348902307
2022-02-02,0.07367359801151062
2022-02-03,-0.03638293003714805
2022-02-04,0.0025622696013784954
2022-02-07,-0.028514311302285777
2022-02-08,0.0019792561392688174
2022-02-09,0.01609049107778483
2022-02-10,-0.020151637536967665
2022-02-11,-0.03226845561924523
2022-02-14,0.008722866818408927
2022-02-15,0.008318577344070799
2022-02-16,0.007784442121505703
2022-02-17,-0.03766888436793072
2022-02-18,-0.013914475543105327
2022-02-22,-0.008162971248554732
2022-02-23,-0.014045302871686436
2022-02-24,0.03988316325337693
2022-02-25,0.013913919555049
2022-02-28,0.002761724027237244
2022-03-01,-0.005359936300206205
2022-03-02,0.004348996011979756
2022-03-03,-0.0032912191654152147
2022-03-04,-0.016276056977446853
2022-03-07,-0.04282022560539071
2022-03-08,0.006436612551132047
2022-03-09,0.05175653169688649
2022-03-10,-0.008844594611538392
2022-03-11,-0.016630080474289537
2022-03-14,-0.028622210537862822
2022-03-15,0.023035244708165013
2022-03-16,0.031081158528971874
2022-03-17,0.006806679327300985
2022-03-18,0.016352124398804787
2022-03-21,-0.00236107097233449
2022-03-22,0.027835856647647008
2022-03-23,-0.012646376799613106
2022-03-24,0.020277482616711643
2022-03-25,0.0014825575964987885
2022-03-28,0.003027789527117326
2022-03-29,0.009158175975388148
2022-03-30,-0.004226870977857766
2022-03-31,-0.020996218584028198
2022-04-01,0.007522341940129391
2022-04-04,0.02091332584672996
2022-04-05,-0.01795776499388395
2022-04-06,-0.027555124798465717
2022-04-07,-0.005183111927230871
2022-04-08,-0.01798628481210103
2022-04-11,-0.03144533135849971
2022-04-12,-0.010955589258509797
2022-04-13,0.014890021586442464
2022-04-14,-0.023279533000414715
2022-04-18,0.005563721030342691
2022-04-19,0.02008430188603648
2022-04-20,-0.017509305065883607
2022-04-21,-0.025794267181791324
2022-04-22,-0.0426093173539895
2022-04-25,0.030397793194381493
2022-04-26,-0.030377308688831137
2022-04-27,-0.037533652240918446
2022-04-28,0.03817579330068844
2022-04-29,-0.03722421819653881
2022-05-02,0.019053362195447853
2022-05-03,0.008300858517731373
2022-05-04,0.03763239118879683
2022-05-05,-0.04755047102137102
2022-05-06,-0.00930644142145079
2022-05-09,-0.02227221119451011
2022-05-10,0.01326892880423658
2022-05-11,-0.00544143947394003
2022-05-12,-0.007019905341707652
2022-05-13,0.02964360269545279
2022-05-16,-0.014787728065626326
2022-05-17,0.016629976054232852
2022-05-18,-0.03685041721530156
2022-05-19,-0.01472853715672103
2022-05-20,-0.012935018890666436
2022-05-23,0.02152985153275357
2022-05-24,-0.05140748537664887
2022-05-25,-0.0008166273922526131
2022-05-26,0.023209644626690246
2022-05-27,0.041580539266661984
2022-05-31,0.010992985967809758
2022-06-01,0.0008593513753636104
2022-06-02,0.03161990526174009
2022-06-03,-0.027024265343735494
2022-06-06,0.021354832166177538
2022-06-07,0.001871642063533462
2022-06-08,7.250005775924709e-05
2022-06-09,-0.019788803249433072
2022-06-10,-0.030373844185028122
2022-06-13,-0.04084265518203495
2022-06-14,0.002970692757841533
2022-06-15,0.02981979101691002
2022-06-16,-0.03401109011311274
2022-06-17,0.011529875451044768
2022-06-21,0.03846918553046591
2022-06-22,0.00016959507643016667
2022-06-23,0.0058063184904920285
2022-06-24,0.051945922292832604
2022-06-27,-0.016159412365813173
2022-06-28,-0.03473596396794336
2022-06-29,-0.0027982431955818014
2022-06-30,-0.025691186517258355
2022-07-01,-0.002665169794621417
2022-07-05,0.04405899927015034
2022-07-06,0.011647509609344483
2022-07-07,0.03552100009641577
2022-07-08,0.007229335100688875
2022-07-11,-0.030340760165594907
2022-07-12,-0.014357712322864442
2022-07-13,-0.023182565392863373
2022-07-14,-0.00665847239097168
2022-07-15,0.011907715546821643
2022-07-18,-0.025335378898117506
2022-07-19,0.04285323380529003
2022-07-20,0.0006979078672421483
2022-07-21,0.0029642892443892685
2022-07-22,-0.0580667615787037
2022-07-25,-0.0013842887138612353
2022-07-26,-0.025598342727126782
2022-07-27,0.07738994540757348
2022-07-28,0.008714770044605765
2022-07-29,0.017889895429553767
2022-08-01,-0.00994509635446544
2022-08-02,0.003636977457016113
2022-08-03,0.024848983740305683
2022-08-04,0.0007577367251231507
2022-08-05,-0.005468171202659422
2022-08-08,-0.0006767199308798288
2022-08-09,-0.005417296368333272
2022-08-10,0.02680852362450133
2022-08-11,-0.0068794183220681985
2022-08-12,0.023618776817414172
2022-08-15,0.001875219932145976
2022-08-16,-0.0030110280392052044
2022-08-17,-0.017876111364123388
2022-08-18,0.004488039535380525
2022-08-19,-0.02267084105520725
2022-08-22,-0.025821224016573847
2022-08-23,-0.002607135244229139
2022-08-24,-0.000609912841959185
2022-08-25,0.026155188141406275
2022-08-26,-0.05437548056436001
2022-08-29,-0.008625397012979019
2022-08-30,-0.0038969792464420357
2022-08-31,-0.00691476763631911
2022-09-01,0.012826399508084048
2022-09-02,-0.01691544726332142
2022-09-06,-0.01104156187773804
2022-09-07,0.027912168834208252
2022-09-08,-0.009594543408581065
2022-09-09,0.02156827499400707
2022-09-12,0.00080518847976429
2022-09-13,-0.058639537203271495
2022-09-14,0.005317683040270685
2022-09-15,-0.018607737504443635
2022-09-16,-0.0025986936332593425
2022-09-19,0.002122949209051232
2022-09-20,-0.019451099400543365
2022-09-21,-0.017872922145712667
2022-09-22,0.005599415524768603
2022-09-23,-0.013920667496541283
2022-09-26,-0.0036301363012860802
2022-09-27,-0.007286724405353502
2022-09-28,0.027016022273570545
2022-09-29,-0.026305356184963366
2022-09-30,-0.019777702971147212
2022-10-03,0.03276132580227863
2022-10-04,0.03131923982651388
2022-10-05,-0.0018553113427584897
2022-10-06,0.0001956235846958318
2022-10-07,-0.026115006110455637
2022-10-10,-0.008637145857059459
2022-10-11,-0.006686212529999535
2022-10-12,0.002549719451492848
2022-10-13,0.014343804567050113
2022-10-14,-0.025373571382279345
2022-10-17,0.03704464357703196
2022-10-18,0.006052794381228691
2022-10-19,-0.010849181188903328
2022-10-20,0.002393038803256943
2022-10-21,0.009449961097904266
2022-10-24,0.014682674561300431
2022-10-25,0.019034661175458736
2022-10-26,-0.09634995312063176
2022-10-27,-0.02341279506273089
2022-10-28,0.04298059851530003
2022-10-31,-0.01987987298140586
2022-11-01,-0.04394679380066986
2022-11-02,-0.03790055585829592
2022-11-03,-0.0411163643459562
2022-11-04,0.038447708307651485
